platform,frame,stance,n_comments,median_likes,median_replies,median_total_eng,mean_total_eng
Instagram,golf,contested,1,421.0,,421.0,421.0
Instagram,golf,neutral,103,8.0,0.0,8.0,173.89
Instagram,golf,resistant,1,6.0,0.0,6.0,6.0
Instagram,golf,supportive,5,12.0,1.0,12.0,83.4
Instagram,hybrid,contested,1,9.0,0.0,9.0,9.0
Instagram,hybrid,neutral,58,7.0,0.0,7.0,188.0
Instagram,hybrid,resistant,2,4.5,0.0,4.5,4.5
Instagram,hybrid,supportive,5,5.0,0.0,5.0,6.4
Instagram,neutral,contested,1,15.0,1.0,16.0,16.0
Instagram,neutral,neutral,757,6.0,0.0,7.0,103.55
Instagram,neutral,resistant,12,4.0,4.0,4.0,11.25
Instagram,neutral,supportive,32,5.5,0.0,5.5,89.75
Instagram,political,neutral,155,6.0,0.0,7.0,92.59
Instagram,political,resistant,4,4.5,2.0,6.0,8.0
Instagram,political,supportive,13,8.0,0.0,8.0,126.62
X,golf,neutral,25,71.0,3.0,81.0,180.24
X,golf,supportive,3,101.0,1.0,102.0,230.67
X,hybrid,neutral,9,82.0,3.0,88.0,669.0
X,hybrid,supportive,2,153.5,19.0,172.5,172.5
X,neutral,neutral,27,58.0,2.0,66.0,293.3
X,neutral,supportive,9,30.0,1.0,30.0,189.0
X,political,neutral,9,230.0,11.0,241.0,321.0
X,political,supportive,1,98.0,2.0,100.0,100.0
YouTube,golf,contested,1,0.0,8.0,8.0,8.0
YouTube,golf,neutral,625,15.0,0.0,16.0,206.14
YouTube,golf,resistant,13,14.0,0.0,14.0,96.38
YouTube,golf,supportive,89,16.0,0.0,16.0,78.52
YouTube,hybrid,contested,13,14.0,0.0,14.0,30.54
YouTube,hybrid,neutral,838,21.0,0.0,21.0,191.07
YouTube,hybrid,resistant,21,9.0,0.0,9.0,53.19
YouTube,hybrid,supportive,185,22.0,0.0,23.0,335.01
YouTube,neutral,contested,4,24.0,0.0,24.0,32.0
YouTube,neutral,neutral,1420,14.0,0.0,14.0,87.39
YouTube,neutral,resistant,35,13.0,0.0,13.0,32.11
YouTube,neutral,supportive,80,12.5,0.0,12.5,44.79
YouTube,political,contested,1,126.0,0.0,126.0,126.0
YouTube,political,neutral,943,15.0,0.0,15.0,122.86
YouTube,political,resistant,23,11.0,0.0,11.0,23.83
YouTube,political,supportive,133,18.0,0.0,18.0,130.19
